ports,time,egauge
KBDU,1208275200,BVSDMesa
KEIK,1254877200,SV-Erie-H
KNUQ,1294876800,eGauge1004
KBJC,1262199600,eGauge116
KDLL,1322503200,eGauge1911
KAPF,1327694400,eGauge2066
KATT,1294700400,eGauge2130
KBTV,1334602800,eGauge2448
KBKF,1303516800,eGauge2701
KAPA,1350169200,eGauge2705
KBFI,1342465200,eGauge2850
KMSN,1338418800,eGauge3067
KPAE,1347400800,eGauge3173
KFNL,1249686000,eGauge3842
KMKT,1349812800,eGauge3980
KBKL,1354824000,eGauge4040
KRDU,1354320000,eGauge4336
KWVI,1231664400,eGauge68
KRHV,1300215600,egauge1008
KRNM,1303455600,egauge1072
KADS,1308934800,egauge1135
ZLIC,1262797200,egauge117
KFMM,1261422000,egauge121
KPUB,1308592800,egauge1229
S19,1325700000,egauge1333
KAUS,1310313600,egauge1420
KEDC,1316880000,egauge1590
KDAL,1317679200,egauge1625
PHNL,1330034400,egauge1723
KNFW,1319133600,egauge1736
KSAT,1296673200,egauge1751
KPAO,1325188800,egauge1805
KABH,1328382000,egauge1891
KRNT,1323738000,egauge2143
KCPS,1336413600,egauge2145
KTLH,1332367200,egauge2375
KEUG,1355356800,egauge4838
KGOP,1281538800,egauge703
KLOM,1293130800,egauge713
PHOG,1280941200,egauge804
KCHD,1305849600,egauge950
